,City,Country,Lat,Lon,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
99,Alexandria,EG,31.2156,29.9553,78.76,83.0,0.0,5.75
100,Longyearbyen,SJ,78.2186,15.6401,40.84,93.0,90.0,0.0
101,Mindelo,CV,16.8901,-24.9804,80.15,78.0,20.0,12.66
102,Machaneng,BW,-23.1862,27.4886,70.41,23.0,47.0,7.38
103,Linqiong,CN,30.4159,103.4609,76.82,70.0,56.0,1.61
104,Itarema,BR,-2.9248,-39.9167,78.44,81.0,56.0,14.92
105,Tokur,RU,53.1333,132.9,53.35,69.0,57.0,3.91
106,Blagoyevo,RU,63.3667,47.9167,31.19,94.0,14.0,1.12
107,Mogadishu,SO,2.0371,45.3438,76.71,80.0,37.0,13.02
108,Kapaa,US,22.0752,-159.319,80.92,74.0,75.0,12.66
109,Takoradze,GH,4.8845,-1.7554,75.4,94.0,45.0,7.52
110,Aberdeen,GB,57.1437,-2.0981,54.09,82.0,100.0,4.61
111,Avarua,CK,-21.2078,-159.775,78.85,78.0,40.0,4.61
112,Hamilton,US,39.1834,-84.5333,69.66,86.0,90.0,5.75
113,Campbell River,CA,50.0163,-125.2446,55.85,88.0,90.0,8.05
114,Lebu,CL,-37.6167,-73.65,49.28,89.0,2.0,18.48
115,Bethel,US,41.3712,-73.414,61.68,77.0,1.0,0.0
116,Carnarvon,AU,-24.8667,113.6333,80.67,21.0,0.0,16.11
117,Chokurdakh,RU,70.6333,147.9167,33.69,53.0,96.0,10.0
118,Frumuşani,RO,44.2961,26.3256,52.21,78.0,100.0,9.95
119,Cherskiy,RU,68.75,161.3,34.75,50.0,65.0,7.4
120,Saint-Philippe,RE,-21.3585,55.7679,67.59,72.0,100.0,13.31
121,Kangaatsiaq,GL,68.3065,-53.4641,33.3,82.0,100.0,7.23
122,Ha Tinh,VN,18.3333,105.9,81.99,78.0,25.0,4.36
123,Birao,CF,10.2849,22.7882,71.04,94.0,11.0,3.31
124,Esna,EG,25.2934,32.554,78.82,18.0,19.0,6.6
125,solovetskiy,ru,,,,,,
126,Santiago de Chuco,PE,-8.15,-78.1833,53.2,66.0,30.0,2.3
127,tumannyy,ru,,,,,,
128,São João da Barra,BR,-21.6403,-41.0511,72.95,88.0,27.0,18.84
129,Huarmey,PE,-10.0681,-78.1522,62.29,84.0,18.0,9.62
130,Bredasdorp,ZA,-34.5322,20.0403,45.72,81.0,15.0,4.61
131,Cabo San Lucas,MX,22.8909,-109.9124,83.5,79.0,99.0,7.02
132,Mattru,SL,7.6244,-11.8332,73.35,97.0,100.0,2.01
133,kusk,af,,,,,,
134,Nikolskoye,RU,59.7035,30.7861,42.69,83.0,99.0,6.58
135,Albenga,IT,44.0529,8.216,66.16,59.0,0.0,10.36
136,São Filipe,CV,14.8961,-24.4956,79.97,85.0,93.0,7.23
137,Faya,SA,18.3851,42.4509,63.12,33.0,1.0,8.34
138,Port Alfred,ZA,-33.5906,26.891,59.95,55.0,86.0,25.08
139,Lisala,CD,2.15,21.5167,70.25,88.0,19.0,1.7
140,Pevek,RU,69.7008,170.3133,28.67,75.0,95.0,2.48
141,Kutum,SD,14.2,24.6667,76.23,43.0,100.0,2.57
142,Provideniya,RU,64.3833,-173.3,33.91,75.0,90.0,4.47
143,Khatanga,RU,71.9667,102.5,32.76,98.0,100.0,3.2
144,Esperance,AU,-33.8667,121.9,55.24,49.0,0.0,12.1
145,belushya guba,ru,,,,,,
146,panapakkam,in,,,,,,
147,Omboué,GA,-1.5746,9.2618,75.2,84.0,100.0,7.0
148,Nanortalik,GL,60.1432,-45.2371,37.24,73.0,2.0,14.03
149,La Palma,US,33.8464,-118.0467,75.34,62.0,1.0,8.05
150,Finschhafen,PG,-6.6024,147.8681,82.67,70.0,100.0,8.52
151,Pochutla,MX,15.7432,-96.4661,79.65,85.0,86.0,4.32
152,Aklavik,CA,68.2191,-135.0107,43.63,77.0,100.0,14.38
153,Oyama,JP,36.3,139.8,76.89,51.0,10.0,2.59
154,Catuday,PH,16.2923,119.8062,82.87,72.0,8.0,7.16
155,Salalah,OM,17.0151,54.0924,78.12,89.0,56.0,6.04
156,Tazovsky,RU,67.4667,78.7,31.41,87.0,75.0,13.47
157,Jennings,US,38.7192,-90.2604,79.81,78.0,1.0,6.91
158,Winchester,GB,51.0651,-1.3187,46.58,92.0,60.0,4.63
159,attawapiskat,ca,,,,,,
160,Husavik,IS,66.0449,-17.3389,42.71,85.0,100.0,10.31
161,Maryville,US,35.7565,-83.9705,69.73,94.0,90.0,4.61
162,Fairbanks,US,64.8378,-147.7164,38.21,52.0,75.0,2.3
163,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,44.0,75.0,20.13
164,Homer,US,59.6425,-151.5483,57.09,51.0,75.0,9.22
165,Nanyang,CN,32.9947,112.5328,77.95,62.0,0.0,13.6
166,Arraial do Cabo,BR,-22.9661,-42.0278,71.56,94.0,20.0,19.57
167,Ende,ID,-8.8432,121.6623,86.58,54.0,38.0,4.38
168,Prokop'yevsk,RU,53.9059,86.719,36.18,94.0,100.0,13.29
169,Nkoteng,CM,4.5167,12.0333,69.12,99.0,100.0,3.11
170,Airai,TL,-8.9266,125.4092,75.78,31.0,53.0,5.73
171,Omutninsk,RU,58.67,52.1932,30.81,94.0,27.0,3.2
172,Chara,RU,56.9064,118.2631,55.99,53.0,10.0,1.54
173,Khuzhir,RU,53.1939,107.3397,46.2,84.0,100.0,15.03
174,amderma,ru,,,,,,
175,Meadow Lake,US,34.8014,-106.5436,79.7,20.0,15.0,15.57
176,Montrose,US,38.4166,-108.2673,52.25,35.0,0.0,3.74
177,Clyde River,CA,70.4692,-68.5914,28.94,72.0,92.0,6.11
178,Mount Darwin,ZW,-16.7725,31.5838,53.26,45.0,0.0,2.28
179,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87.0,90.0,16.11
180,Dikson,RU,73.5069,80.5464,34.95,78.0,98.0,11.54
181,De-Kastri,RU,51.4667,140.7833,58.06,63.0,99.0,2.75
182,Shenzhen,CN,22.5455,114.0683,86.85,64.0,95.0,1.05
183,barentsburg,sj,,,,,,
184,Padang,ID,-0.9492,100.3543,80.65,78.0,43.0,3.09
185,Maceió,BR,-9.6658,-35.7353,72.84,94.0,0.0,3.44
186,São Luiz Gonzaga,BR,-28.4083,-54.9608,70.74,84.0,93.0,14.16
187,Orange Walk District,BZ,17.8333,-88.8333,75.6,97.0,4.0,3.06
188,Adrar,MR,20.5022,-10.0711,87.93,25.0,0.0,17.94
189,New Norfolk,AU,-42.7826,147.0587,49.5,58.0,99.0,9.19
190,Lata,PT,40.1629,-8.3327,57.61,62.0,0.0,11.1
191,Castro,BR,-24.7911,-50.0119,70.16,53.0,12.0,2.39
192,La Unión,PE,-5.4,-80.75,64.69,76.0,4.0,14.7
193,Saint George,US,37.1041,-113.5841,82.99,13.0,1.0,13.8
194,Northam,GB,51.0333,-4.2167,49.62,88.0,22.0,4.65
195,Slave Lake,CA,55.2834,-114.769,55.38,62.0,20.0,2.3
196,Christchurch,NZ,-43.5333,172.6333,71.8,35.0,20.0,5.75
197,Palmer,US,42.1584,-72.3287,61.16,82.0,20.0,4.61
198,yialos,gr,,,,,,
199,Arroyo de la Encomienda,ES,41.6096,-4.7969,46.44,93.0,0.0,6.91
200,San Matías,BO,-16.3667,-58.4,85.21,21.0,2.0,4.7
201,lolua,tv,,,,,,
202,Srednekolymsk,RU,67.45,153.6833,37.58,47.0,22.0,14.34
203,Lavrentiya,RU,65.5833,-171.0,36.93,57.0,61.0,4.14
204,Portland,US,45.5234,-122.6762,71.89,47.0,20.0,4.61
205,Havelock,US,34.8791,-76.9013,77.13,73.0,75.0,16.11
206,Broome,US,42.2506,-75.833,64.74,72.0,1.0,6.91
207,Guangyuan,CN,32.442,105.823,76.28,74.0,5.0,1.83
208,Chumikan,RU,54.7183,135.315,54.07,41.0,0.0,3.49
209,Puerto del Rosario,ES,28.5004,-13.8627,71.35,73.0,10.0,9.22
210,Santa Cruz de la Sierra,BO,-17.8,-63.1667,81.86,65.0,80.0,6.91
211,Cidreira,BR,-30.1811,-50.2056,67.95,97.0,61.0,7.34
212,Wapi Pathum,TH,15.8452,103.3768,76.89,93.0,100.0,8.37
213,mutsamudu,km,,,,,,
214,Bubaque,GW,11.2833,-15.8333,81.01,83.0,98.0,11.05
215,Halifax,CA,44.6453,-63.5724,57.38,85.0,1.0,2.3
216,Peachland,CA,49.7665,-119.7357,66.52,49.0,67.0,2.75
217,Vallenar,CL,-28.5708,-70.7581,61.72,46.0,0.0,4.14
218,Henties Bay,NA,-22.116,14.2845,53.1,92.0,0.0,4.72
219,Te Anau,NZ,-45.4167,167.7167,44.94,94.0,100.0,5.23
220,Ostrovnoy,RU,68.0531,39.5131,34.68,87.0,86.0,11.01
221,Rocha,UY,-34.4833,-54.3333,52.14,88.0,80.0,17.74
222,General Pico,AR,-35.6566,-63.7568,49.82,55.0,0.0,8.61
223,Poso,ID,-1.3959,120.7524,75.9,94.0,100.0,4.68
224,Haines Junction,CA,60.7522,-137.5108,42.75,93.0,100.0,2.3
225,Fortuna,US,40.5982,-124.1573,63.52,63.0,20.0,8.05
226,Boa Vista,BR,2.8197,-60.6733,80.58,74.0,40.0,1.14
227,Valparaíso,CL,-33.0393,-71.6273,58.64,58.0,0.0,2.3
228,Ranong,TH,9.9658,98.6348,75.13,91.0,100.0,4.81
229,Kavaratti,IN,10.5669,72.642,81.36,79.0,100.0,10.02
230,saleaula,ws,,,,,,
231,San Miguel,SV,13.4833,-88.1833,74.43,98.0,100.0,2.53
232,Banda Aceh,ID,5.5577,95.3222,82.65,70.0,96.0,12.44
233,Dehlorān,IR,32.6941,47.2679,83.84,17.0,0.0,5.91
234,Okhotsk,RU,59.3833,143.3,49.6,57.0,100.0,7.83
235,Praia,CV,14.9215,-23.5087,79.34,94.0,20.0,12.66
236,Somerset,US,40.5668,-74.5496,63.54,88.0,1.0,0.0
237,Sept-Îles,CA,50.2001,-66.3821,48.72,100.0,40.0,4.61
238,Vila Franca do Campo,PT,37.7167,-25.4333,70.21,78.0,79.0,9.1
239,Yambio,SS,4.5721,28.3955,67.15,97.0,94.0,2.3
240,Chingola,ZM,-12.529,27.8838,59.07,38.0,0.0,4.43
241,Dingle,PH,10.9995,122.6711,82.63,79.0,100.0,3.85
242,Tateyama,JP,34.9833,139.8667,73.67,64.0,50.0,10.16
243,Kurduvādi,IN,18.0833,75.4333,75.42,81.0,100.0,8.34
244,Upernavik,GL,72.7868,-56.1549,24.49,82.0,84.0,4.41
245,Kumul,CN,42.8,93.45,75.16,27.0,92.0,3.24
246,Narsaq,GL,60.9167,-46.05,33.35,57.0,0.0,5.37
247,Butaritari,KI,3.0707,172.7902,83.16,70.0,45.0,14.14
248,Matagami,CA,49.7502,-77.6328,66.31,42.0,1.0,14.97
249,Ponta Delgada,PT,37.7333,-25.6667,70.52,73.0,20.0,6.91
250,Qaqortoq,GL,60.7167,-46.0333,35.94,64.0,0.0,6.35
251,Broken Hill,AU,-31.95,141.4333,53.31,37.0,40.0,24.16
252,Grand Forks,US,47.9417,-97.4337,55.36,88.0,90.0,4.61
253,Kalmunai,LK,7.4167,81.8167,80.74,78.0,90.0,7.81
254,Ouadda,CF,8.0777,22.4007,67.44,99.0,67.0,0.87
255,Malatya Province,TR,38.5,38.0,57.25,55.0,0.0,3.44
256,Isangel,VU,-19.55,169.2667,80.71,54.0,40.0,11.5
257,Grantham,GB,52.9115,-0.6418,52.05,86.0,91.0,5.3
258,Nemuro,JP,43.3236,145.575,66.63,82.0,40.0,15.61
259,Gamba,GA,-2.65,10.0,73.99,85.0,100.0,6.13
260,Norman Wells,CA,65.282,-126.8329,57.24,44.0,75.0,17.27
261,Belaya Gora,RU,68.5333,146.4167,35.53,50.0,44.0,9.46
262,Kruisfontein,ZA,-34.0033,24.7314,53.02,74.0,83.0,15.73
263,Coahuayana Viejo,MX,18.7333,-103.6833,77.54,89.0,39.0,0.56
264,Evensk,RU,61.95,159.2333,45.88,85.0,100.0,18.23
265,Torbay,CA,47.6666,-52.7314,43.57,75.0,40.0,13.8
266,Yeppoon,AU,-23.1333,150.7333,80.38,31.0,21.0,14.29
267,Klaksvík,FO,62.2266,-6.589,52.72,79.0,100.0,33.22
268,Zacualpan,MX,21.25,-105.1667,80.98,80.0,100.0,1.21
269,Thompson,CA,55.7435,-97.8558,42.96,81.0,40.0,3.44
270,Sola,VU,-13.8833,167.55,78.06,74.0,100.0,18.48
271,Nuuk,GL,64.1835,-51.7216,32.61,80.0,75.0,0.0
272,Bengkulu,ID,-3.8004,102.2655,81.03,75.0,83.0,1.59
273,Port Shepstone,ZA,-30.7414,30.455,60.73,66.0,99.0,21.43
274,Lompoc,US,34.6391,-120.4579,71.13,64.0,1.0,10.36
275,Tutóia,BR,-2.7619,-42.2744,79.11,80.0,90.0,13.04
276,Skjervøy,NO,70.0311,20.9714,42.39,65.0,0.0,17.69
277,Mokhsogollokh,RU,61.4681,128.9203,44.46,55.0,7.0,4.72
278,Koutsouras,GR,35.0339,25.9469,81.61,49.0,0.0,2.95
279,Abu Samrah,SY,35.3029,37.1841,73.24,46.0,0.0,5.19
280,Erenhot,CN,43.6475,111.9767,57.7,56.0,62.0,8.66
281,El Porvenir,HN,13.7617,-87.3458,71.13,91.0,98.0,4.54
282,Poykovskiy,RU,61.2333,73.3333,37.69,93.0,40.0,8.95
283,Tongzi,CN,28.7829,105.0877,78.39,73.0,0.0,2.44
284,Tommot,RU,58.9564,126.2925,47.7,59.0,1.0,9.13
285,Menongue,AO,-14.6585,17.691,69.58,39.0,85.0,2.01
286,Zamora,EC,-4.0692,-78.9567,65.25,97.0,80.0,2.06
287,Nsanje,MW,-16.92,35.262,64.56,67.0,0.0,2.26
288,Zhangye,CN,38.9342,100.4517,72.41,18.0,21.0,8.66
289,Yairipok,IN,24.6667,94.0667,73.26,94.0,99.0,0.49
290,Golyshmanovo,RU,56.3979,68.3728,35.53,96.0,100.0,8.88
291,Trincomalee,LK,8.5711,81.2335,80.92,78.0,69.0,15.93
292,Sitka,US,57.0531,-135.33,57.09,82.0,90.0,11.5
293,Río Gallegos,AR,-51.6226,-69.2181,55.45,50.0,0.0,9.22
294,Ribeira Grande,PT,38.5167,-28.7,70.7,75.0,2.0,11.7
295,Vila Velha,BR,-20.3297,-40.2925,73.35,88.0,40.0,5.75
296,Mossendjo,CG,-2.9506,12.7261,69.87,93.0,99.0,3.27
297,Batemans Bay,AU,-35.7167,150.1833,58.23,44.0,70.0,15.95
298,Yangambi,CD,0.8102,24.4336,69.6,95.0,56.0,1.61
299,Tungawan,PH,7.5081,122.3711,83.7,67.0,100.0,2.64
300,Severnyy-Kospashskiy,RU,59.0925,57.8008,27.25,97.0,35.0,2.68
301,Egvekinot,RU,66.3167,-179.1667,27.64,62.0,24.0,5.55
302,Roebourne,AU,-20.7833,117.1333,83.79,25.0,98.0,28.97
303,St. George's,GD,12.0564,-61.7485,82.08,83.0,40.0,9.22
304,khonuu,ru,,,,,,
305,Sisimiut,GL,66.9395,-53.6735,33.08,83.0,100.0,7.74
306,tabiauea,ki,,,,,,
307,Garissa,KE,-0.4536,39.6401,73.15,78.0,9.0,14.63
308,Praxédis Guerrero,MX,31.3667,-106.0167,89.15,26.0,0.0,5.84
309,Ulcinj,ME,41.9294,19.2244,66.42,70.0,100.0,5.1
310,Roald,NO,62.5833,6.1333,53.74,76.0,75.0,19.57
311,kadykchan,ru,,,,,,
312,Pangkalanbuun,ID,-2.6833,111.6167,82.31,71.0,100.0,4.16
313,Anloga,GH,5.7947,0.8973,79.02,86.0,32.0,15.1
314,Glenwood Springs,US,39.5505,-107.3248,49.23,51.0,1.0,9.22
315,Buraidah,SA,26.326,43.975,75.65,19.0,0.0,3.74
316,Berdigestyakh,RU,62.0989,126.6992,43.02,61.0,13.0,6.15
317,Bakchar,RU,57.0186,82.0711,37.42,97.0,100.0,8.12
318,Kasama,ZM,-10.2129,31.1808,60.62,51.0,0.0,1.9
319,Ayan,RU,56.45,138.1667,50.36,45.0,1.0,13.51
320,Kalmar,SE,56.6616,16.3616,40.93,100.0,40.0,2.3
321,Saint-François,FR,46.4154,3.9054,54.84,94.0,75.0,0.0
322,Chernyshevskiy,RU,63.0128,112.4714,42.19,66.0,95.0,12.55
323,Fort Saint James,CA,54.4333,-124.25,45.82,92.0,100.0,6.82
324,Rapid Valley,US,44.0625,-103.1463,52.0,76.0,75.0,10.36
325,Melito di Porto Salvo,IT,37.9222,15.7714,73.29,64.0,75.0,10.36
326,‘Ewa Beach,US,21.3156,-158.0072,83.57,50.0,1.0,13.8
327,Saýat,TM,38.7839,63.8803,62.51,17.0,0.0,9.91
328,Miyang,CN,24.4042,103.4428,71.01,77.0,4.0,1.16
329,Kulhudhuffushi,MV,6.6221,73.07,82.44,77.0,100.0,9.55
330,Santa Cruz de Tenerife,ES,28.4682,-16.2546,71.2,72.0,40.0,16.11
331,Rāmtek,IN,21.4,79.3333,74.16,92.0,100.0,2.75
332,Ilulissat,GL,69.2167,-51.1,22.28,85.0,100.0,6.13
333,Nara,JP,34.6851,135.8049,81.73,57.0,10.0,7.96
334,meyungs,pw,,,,,,
335,Beringovskiy,RU,63.05,179.3167,41.86,95.0,100.0,7.96
336,samalaeulu,ws,,,,,,
337,Kahului,US,20.8947,-156.47,87.82,45.0,40.0,21.85
338,Longhua,CN,23.6137,114.1919,90.52,61.0,6.0,0.92
339,Mossamedes,AO,-15.1961,12.1522,60.69,86.0,9.0,0.92
340,Moose Factory,CA,51.2585,-80.6094,76.98,65.0,20.0,16.11
341,Östersund,SE,63.1792,14.6357,41.45,87.0,90.0,14.97
342,Smolenskaya,RU,44.7887,38.8018,62.42,92.0,52.0,3.04
343,Nyurba,RU,63.2842,118.3319,42.6,49.0,100.0,9.91
344,Nelson Bay,AU,-32.7167,152.15,60.85,67.0,98.0,23.11
345,Piojó,CO,10.7485,-75.1078,79.36,81.0,74.0,7.81
346,Novy Urengoy,RU,66.0833,76.6333,33.37,99.0,100.0,9.48
347,Ancud,CL,-41.8697,-73.8203,44.13,86.0,0.0,6.62
348,Jumla,NP,29.2747,82.1838,62.94,85.0,88.0,1.23
349,Miquelon,PM,47.0975,-56.3814,55.24,58.0,78.0,8.63
350,Mahébourg,MU,-20.4081,57.7,68.29,64.0,20.0,10.36
351,Kensington,AU,-33.9167,151.2167,58.71,47.0,75.0,24.16
352,grand river south east,mu,,,,,,
353,Manokwari,ID,-0.8667,134.0833,80.35,80.0,100.0,6.89
354,Saint-Augustin,CA,51.226,-58.6502,49.46,64.0,21.0,10.33
355,Zonguldak,TR,41.25,31.8333,62.58,66.0,55.0,4.92
356,Hong Kong,HK,22.2855,114.1577,86.11,72.0,69.0,0.81
357,Makakilo City,US,21.3469,-158.0858,80.92,65.0,99.0,18.77
358,Villa Carlos Paz,AR,-31.4241,-64.4978,54.68,56.0,100.0,9.95
359,Atar,MR,20.5169,-13.0499,88.11,29.0,0.0,13.51
360,Kenai,US,60.5544,-151.2583,50.88,54.0,49.0,15.37
361,San Cristobal,VE,7.7669,-72.225,73.58,98.0,100.0,2.62
362,Maningrida,AU,-12.0667,134.2667,92.66,32.0,100.0,11.56
363,cam pha,vn,,,,,,
364,riyaq,lb,,,,,,
365,Salisbury,GB,51.0693,-1.7957,48.58,90.0,39.0,5.12
366,Alice,US,27.7523,-98.0697,84.87,67.0,2.0,14.09
367,Camalú,MX,30.85,-116.0667,70.2,74.0,0.0,4.92
368,Sakakah,SA,29.9697,40.2064,80.17,23.0,0.0,9.22
369,San Patricio,US,28.017,-97.5169,85.17,68.0,0.0,12.03
370,Dandong,CN,40.1292,124.3947,69.17,79.0,54.0,15.86
371,Barra do Corda,BR,-5.5,-45.25,79.77,60.0,81.0,4.63
372,Troitsko-Pechorsk,RU,62.7084,56.1964,33.31,86.0,100.0,5.7
373,French Rocks,IN,12.5006,76.6733,71.87,83.0,79.0,4.61
374,Grindavik,IS,63.8424,-22.4338,43.27,93.0,75.0,6.91
375,gurskoye,ru,,,,,,
376,Vostok,RU,46.4856,135.8833,48.96,97.0,100.0,2.93
377,Ambon City,ID,-3.6954,128.1814,82.54,83.0,75.0,6.91
378,Ankazoabo,MG,-22.2833,44.5167,61.97,62.0,0.0,3.18
379,Freeport,US,40.6576,-73.5832,65.57,60.0,4.0,10.47
380,Zaysan,KZ,47.4667,84.8667,47.89,27.0,100.0,2.82
381,Olinda,BR,-8.0089,-34.8553,76.73,69.0,40.0,5.75
382,Muros,ES,42.7762,-9.0603,59.5,77.0,2.0,11.52
