,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lon
217,Buchanan,77.99,88.0,91.0,2.46,,
218,Wanning,89.33,63.0,10.0,14.63,,
219,Pacific Grove,51.12,90.0,73.0,5.99,,
220,Kurmanayevka,72.25,39.0,1.0,10.27,,
221,Esperance,64.4,59.0,75.0,8.05,,
222,kuche,,,,,,
223,Kedrovyy,53.6,40.0,40.0,13.42,,
224,khomeynishahr,,,,,,
225,Saint Andrews,52.74,76.0,1.0,5.75,,
226,College,57.49,36.0,75.0,5.75,,
227,Khāsh,75.06,8.0,4.0,2.04,,
228,Saint Augustine,66.49,40.0,1.0,13.47,,
229,Abashiri,69.8,40.0,75.0,10.36,,
230,Changji,62.6,39.0,0.0,6.71,,
231,Batagay-Alyta,45.95,49.0,10.0,7.47,,
232,vaitupu,,,,,,
233,Oktyabr'skoye,66.02,73.0,20.0,4.47,,
234,Catherinas Lust,76.62,88.0,99.0,7.87,,
235,Noshiro,80.6,22.0,0.0,4.61,,
236,Hohhot,55.4,38.0,40.0,8.95,,
237,Byron Bay,71.53,49.0,0.0,9.22,,
238,Sola,81.79,72.0,24.0,8.59,,
239,Martinsville,46.26,100.0,1.0,3.53,,
240,Leningradskiy,33.01,91.0,83.0,2.98,,
241,Kamenka,62.92,61.0,100.0,12.03,,
242,San Quintín,48.0,15.0,4.0,10.0,,
243,Vila Velha,65.25,88.0,0.0,2.3,,
244,Labytnangi,33.15,65.0,100.0,10.74,,
245,Florø,51.8,93.0,90.0,4.61,,
246,Beyneu,79.97,24.0,0.0,15.35,,
247,Lázaro Cárdenas,80.78,72.0,100.0,4.23,,
248,Tshikapa,67.66,78.0,77.0,2.28,,
249,Kiruna,32.0,100.0,90.0,3.44,,
250,Bodh Gaya,93.2,40.0,40.0,3.44,,
251,Orotukan,35.26,96.0,10.0,4.54,,
252,Chato,63.27,94.0,58.0,4.85,,
253,Faanui,82.38,74.0,100.0,16.69,,
254,Nelson Bay,64.98,37.0,90.0,19.57,,
255,Khatassy,62.6,14.0,0.0,4.47,,
256,Arraial do Cabo,69.76,62.0,46.0,0.67,,
257,Yakeshi,52.39,47.0,92.0,17.34,,
258,Paraúna,65.57,62.0,79.0,4.05,,
259,Ormara,84.04,68.0,3.0,2.19,,
260,Palembang,87.8,70.0,40.0,8.05,,
261,Amga,59.56,37.0,91.0,5.14,,
262,Province of Mantua,49.69,95.0,94.0,1.99,,
263,Cherskiy,34.47,86.0,100.0,2.08,,
264,Lima,64.15,82.0,75.0,5.75,,
265,Paamiut,37.72,66.0,71.0,5.37,,
266,Tuatapere,48.99,60.0,82.0,14.0,,
267,Kumul,74.01,14.0,63.0,6.73,,
268,Kendari,79.52,91.0,100.0,4.99,,
269,mys shmidta,,,,,,
270,Belgrade,53.51,100.0,96.0,3.44,,
271,Cabo San Lucas,82.35,39.0,90.0,1.01,,
272,Bairiki Village,87.8,66.0,40.0,16.11,,
273,Qaanaaq,27.84,86.0,99.0,5.82,,
274,Souillac,77.0,69.0,75.0,12.66,,
275,Birjand,68.0,12.0,0.0,13.8,,
276,Yangi Marg`ilon,73.4,28.0,0.0,11.5,,
277,Lata,55.99,89.0,91.0,3.0,,
278,Katsuura,78.71,53.0,75.0,11.5,,
279,Biak,82.62,75.0,97.0,8.84,,
280,Mehamn,34.74,71.0,100.0,16.98,,
281,satitoa,,,,,,
282,Praia da Vitória,65.26,82.0,20.0,14.14,,
283,Kaeo,68.0,73.0,1.0,5.01,,
284,Pyapon,95.58,43.0,14.0,5.77,,
285,karaul,,,,,,
286,George Town,88.79,70.0,20.0,2.3,,
287,Erenhot,56.17,14.0,99.0,8.41,,
288,Pedasí,73.0,99.0,100.0,14.43,,
289,Mizdah,67.5,26.0,51.0,3.76,,
290,Ust-Kuyga,38.08,98.0,68.0,6.33,,
291,Walvis Bay,62.6,31.0,0.0,8.05,,
292,Balakhta,55.63,47.0,99.0,12.73,,
293,Lusambo,68.45,86.0,82.0,1.3,,
294,Āsosa,62.89,78.0,100.0,4.32,,
295,Portland,65.73,52.0,1.0,12.66,,
296,Touros,73.4,94.0,40.0,3.44,,
297,Longyearbyen,23.0,68.0,20.0,3.44,,
298,urulga,,,,,,
299,Chortomlyk,59.29,74.0,38.0,9.33,,
300,Bandundu Province,72.12,84.0,81.0,0.6,,
301,Pevek,30.47,88.0,24.0,2.24,,
302,Kinshasa,73.4,100.0,69.0,3.44,,
303,Fuerte Olimpo,65.16,83.0,6.0,2.68,,
304,Wahiawā,75.04,64.0,75.0,11.5,,
305,Shimoda,73.18,78.0,75.0,4.61,,
306,Saskylakh,30.25,97.0,100.0,18.41,,
307,Kongolo,70.43,84.0,96.0,2.55,,
308,Mananara,73.99,89.0,34.0,6.85,,
309,Jadu,59.99,47.0,34.0,9.4,,
310,Yekaterinovka,64.83,51.0,47.0,12.97,,
311,Petropavlovsk-Kamchatskiy,60.8,25.0,0.0,13.42,,
312,Kavieng,85.21,75.0,15.0,12.5,,
313,Hvolsvollur,28.99,95.0,20.0,3.0,,
314,Flin Flon,43.74,73.0,100.0,8.41,,
315,County Wicklow,45.01,87.0,75.0,6.91,,
316,Port Augusta,60.66,55.0,90.0,14.97,,
317,Chern',59.63,91.0,26.0,8.48,,
318,Marion,51.44,76.0,40.0,3.44,,
319,Myitkyina,90.18,42.0,8.0,0.81,,
320,ruatoria,,,,,,
321,Caxito,77.0,94.0,40.0,4.61,,
322,Qaqortoq,39.2,30.0,51.0,13.8,,
323,Yellowknife,29.7,69.0,75.0,13.8,,
324,Miandrivazo,73.13,66.0,4.0,4.56,,
325,Cabedelo,71.6,100.0,40.0,4.61,,
326,Hibbing,47.93,87.0,90.0,4.61,,
327,attawapiskat,,,,,,
328,Salaga,78.26,76.0,4.0,6.67,,
329,Slavonski Brod,51.35,96.0,97.0,1.72,,
330,Itarema,74.59,92.0,100.0,9.01,,
331,Ciudad Bolivar,79.75,67.0,40.0,12.24,,
332,Emba,77.0,31.0,4.0,4.9,,
333,Bukid,93.2,49.0,75.0,11.5,,
334,Mirny,61.0,22.0,65.0,14.05,,
335,Churapcha,59.43,27.0,26.0,1.52,,
336,Ishigaki,86.0,79.0,75.0,14.97,,
337,Karasjok,35.6,80.0,90.0,9.22,,
338,Korla,66.54,29.0,87.0,14.07,,
339,Asău,54.63,62.0,0.0,8.05,,
340,Damara,78.8,89.0,20.0,2.35,,
341,Zyryanovsk,60.17,55.0,11.0,1.74,,
342,Dorchester,52.59,87.0,1.0,2.91,,
343,Adrar,74.17,23.0,5.0,8.14,,
344,Hamilton,49.6,87.0,1.0,0.69,,
345,Meulaboh,84.9,66.0,78.0,2.89,,
346,Kawalu,85.05,65.0,86.0,3.94,,
347,Creston,58.19,72.0,90.0,9.22,,
348,Ereymentau,64.27,46.0,12.0,9.89,,
349,burica,,,,,,
350,Solnechnyy,48.76,91.0,100.0,11.3,,
351,Togul,62.37,38.0,88.0,9.89,,
352,haapu,,,,,,
353,Roura,76.03,94.0,40.0,1.14,,
354,armacao dos buzios,,,,,,
355,Hobyo,81.48,74.0,4.0,20.87,,
356,Huttwil,40.33,96.0,63.0,3.8,,
357,Saldanha,60.8,94.0,58.0,12.66,,
358,Hualmay,63.52,87.0,2.0,7.14,,
359,bajo baudo,,,,,,
360,Jiayuguan City,62.94,22.0,99.0,8.5,,
361,Mahanoro,71.56,89.0,31.0,3.29,,
362,Mawlaik,97.83,31.0,0.0,1.05,,
363,Constitución,55.15,85.0,100.0,5.53,,
364,Sidi Ali,60.8,59.0,64.0,1.52,,
365,Northam,46.0,95.0,94.0,11.01,,
366,Chernyakhovsk,46.38,88.0,26.0,2.91,,
367,Guerrero Negro,59.36,82.0,4.0,15.46,,
368,Esim,79.72,84.0,66.0,6.04,,
369,Esna,73.4,27.0,0.0,2.3,,
370,San Carlos,75.06,68.0,70.0,4.21,,
371,Cidreira,58.32,78.0,0.0,5.57,,
372,Nanlong,63.39,70.0,100.0,19.86,,
373,amderma,,,,,,
374,Maceió,73.4,94.0,75.0,4.61,,
375,Bonavista,39.13,87.0,78.0,5.75,,
376,Abnūb,68.0,49.0,0.0,5.75,,
377,Jacqueville,82.4,89.0,20.0,5.75,,
378,Hūn,72.45,28.0,56.0,6.02,,
379,Lappeenranta,54.73,71.0,0.0,4.61,,
380,zolotinka,,,,,,
381,Mil'kovo,55.99,29.0,9.0,2.55,,
382,Fortuna,48.65,100.0,90.0,11.5,,
383,Olutanga,81.64,74.0,100.0,1.77,,
384,Novopskov,63.23,77.0,49.0,4.88,,
385,Saint-François,46.47,93.0,90.0,3.44,,
386,Dwārka,85.37,67.0,93.0,8.37,,
387,Lakinsk,60.66,94.0,100.0,4.27,,
388,Yartsevo,53.78,95.0,56.0,5.59,,
389,Jambi City,89.71,58.0,32.0,5.12,,
390,Óbidos,73.96,94.0,99.0,3.62,,
391,Palauig,92.07,52.0,6.0,7.47,,
392,Torbay,41.02,93.0,90.0,5.75,,
393,Riyadh,90.73,12.0,40.0,6.91,,
394,Gouyave,80.6,83.0,20.0,11.5,,
395,shchelyayur,,,,,,
396,Siavonga,63.39,67.0,0.0,4.29,,
397,Sovetskiy,63.57,71.0,86.0,2.46,,
398,Dimbokro,74.57,98.0,79.0,2.66,,
399,Berdigestyakh,61.5,27.0,38.0,3.47,,
400,Lékoni,73.65,85.0,78.0,1.36,,
401,Kilindoni,79.57,78.0,89.0,16.22,,
402,Mayo,54.72,62.0,1.0,5.61,,
403,Anloga,80.6,89.0,20.0,2.3,,
404,Yacopí,61.0,97.0,100.0,3.65,,
405,saleaula,,,,,,
406,Codó,73.22,99.0,100.0,5.23,,
407,Esso,38.68,91.0,50.0,4.12,,
408,Bolshevik,53.31,100.0,75.0,2.24,,
409,Kpandu,75.67,90.0,11.0,6.06,,
410,Tiksi,35.92,97.0,100.0,11.86,,
411,Sungai Penuh,77.99,71.0,56.0,2.95,,
412,Nabire,85.86,69.0,88.0,4.23,,
413,Samfya,56.84,83.0,2.0,5.84,,
414,Letlhakane,54.57,48.0,1.0,4.68,,
415,Hingatungan,84.31,75.0,99.0,7.58,,
416,Sørkjosen,37.26,80.0,100.0,11.27,,
417,Tongling,88.63,63.0,97.0,11.41,,
418,Harper,78.91,85.0,35.0,5.35,,
419,Fuerte,90.07,65.0,2.0,9.64,,
420,Brigantine,52.88,71.0,1.0,9.42,,
421,Vardø,35.01,74.0,100.0,17.52,,
422,Batagay,50.29,30.0,100.0,6.04,,
423,Barcelos,58.24,94.0,90.0,11.5,,
424,Gainsborough,45.59,93.0,75.0,4.61,,
425,Saint-Paul,75.36,69.0,75.0,13.8,,
426,Camacha,62.6,82.0,40.0,18.41,,
427,Klaksvík,39.2,81.0,75.0,5.75,,
428,‘Ewa Beach,77.72,57.0,20.0,10.36,,
429,Tangier,60.8,82.0,0.0,6.91,,
430,Boddam,42.94,93.0,90.0,2.3,,
431,Okhotsk,34.38,96.0,100.0,7.9,,
432,Pingliang,48.81,83.0,100.0,21.27,,
433,Alyangula,84.2,54.0,40.0,11.5,,
434,Ures,81.84,30.0,0.0,4.0,,
435,Kiunga,90.09,58.0,95.0,2.98,,
436,Nemuro,66.2,48.0,75.0,14.97,,
437,Comodoro Rivadavia,50.0,81.0,0.0,3.44,,
438,Nouadhibou,66.2,82.0,0.0,18.41,,
439,Huarmey,65.3,84.0,6.0,6.4,,
440,Sakakah,73.4,31.0,0.0,11.5,,
441,Sanmenxia,62.1,87.0,100.0,3.15,,
442,Los Llanos de Aridane,61.93,73.0,90.0,16.11,,
443,Lixouri,63.66,75.0,69.0,2.8,,
444,Dhidhdhoo,84.61,76.0,98.0,30.02,,
445,Kormilovka,77.0,23.0,75.0,11.18,,
446,Chapada dos Guimarães,73.4,78.0,0.0,2.3,,
447,Bangui,78.8,89.0,20.0,2.66,,
448,Provideniya,46.65,55.0,75.0,13.04,,
449,Chara,49.19,43.0,29.0,5.64,,
450,Grindavik,35.6,93.0,75.0,3.44,,
451,Sonoita,74.7,13.0,0.0,8.1,,
452,Manokwari,84.25,72.0,42.0,4.97,,
453,Arlit,88.16,11.0,68.0,9.71,,
454,marcona,,,,,,
455,Barberino di Mugello,47.75,93.0,20.0,2.3,,
456,Imeni Poliny Osipenko,52.02,80.0,100.0,20.13,,
457,Mossamedes,76.93,51.0,3.0,4.85,,
458,Rafai,69.19,98.0,100.0,2.51,,
459,Beringovskiy,33.44,96.0,100.0,13.69,,
460,Novy Urengoy,30.49,73.0,67.0,8.9,,
461,San Juan,60.15,48.0,5.0,8.16,,
462,Bandarbeyla,87.46,56.0,10.0,19.44,,
463,coalcoman,,,,,,
464,Amos,52.57,44.0,40.0,6.91,,
465,Sur,91.0,46.0,10.0,3.18,,
466,Rawson,54.07,65.0,3.0,6.31,,
467,Muros,60.78,93.0,100.0,1.01,,
468,Port Hardy,49.3,76.0,20.0,9.22,,
469,Knysna,57.2,72.0,0.0,5.75,,
470,Baruun-Urt,55.11,21.0,2.0,9.22,,
471,Quatre Cocos,77.52,69.0,75.0,12.66,,
472,Den Helder,46.45,87.0,90.0,3.44,,
473,Port Angeles,51.37,87.0,1.0,16.11,,
474,Severnyy,57.2,77.0,0.0,4.47,,
475,Benghazi,69.4,59.0,21.0,7.05,,
476,Goderich,41.0,81.0,9.0,3.44,,
477,Kalmunai,85.75,67.0,100.0,5.23,,
478,Diamantino,70.63,71.0,99.0,0.87,,
479,Ombessa,69.06,98.0,98.0,0.2,,
480,Iqaluit,28.2,64.0,90.0,2.3,,
481,azimur,,,,,,
482,Hasaki,77.97,53.0,75.0,12.66,,
483,Redlands,62.26,49.0,1.0,12.66,,
484,Lavrentiya,35.64,85.0,68.0,7.78,,
485,Dongning,80.82,43.0,80.0,13.91,,
486,Leiyang,91.47,55.0,6.0,16.06,,
487,Qasigiannguit,28.4,93.0,20.0,2.42,,
488,Tokmak,59.14,62.0,26.0,3.22,,
489,Brus Laguna,75.24,87.0,6.0,2.26,,
490,Altay,62.22,35.0,0.0,5.84,,
491,xadani,,,,,,
492,Tsukuba,77.49,49.0,75.0,13.8,,
493,Lompoc,50.32,82.0,52.0,6.91,,
494,Chabahar,87.96,56.0,14.0,7.34,,
495,Sūsangerd,89.6,33.0,0.0,2.3,,
496,Ratnagiri,91.38,54.0,100.0,6.82,,
497,Auki,85.77,65.0,43.0,3.33,,
498,bolshoy uluy,,,,,,
499,Abu Dhabi,84.43,70.0,0.0,2.3,,
500,Elesbão Veloso,75.09,76.0,100.0,2.37,,
501,Dunedin,54.0,45.0,5.0,15.99,,
502,San Patricio,75.74,83.0,75.0,9.22,,
503,Vuktyl,61.65,75.0,100.0,2.55,,
504,Luba,73.4,100.0,20.0,4.61,,
505,Shirokiy,58.1,51.0,34.0,22.86,,
506,Kandé,77.0,83.0,0.0,2.3,,
507,Mandalgovi,53.2,21.0,27.0,9.69,,
508,Necochea,53.08,64.0,99.0,9.08,,
509,Mezen',48.07,78.0,94.0,4.65,,
510,Poquoson,52.27,87.0,1.0,3.44,,
511,Pokhara,81.57,41.0,0.0,6.06,,
512,Buala,85.93,65.0,63.0,5.37,,
513,Binga,60.08,66.0,0.0,1.12,,
514,Ayagoz,61.2,41.0,1.0,13.24,,
515,Stoughton,54.43,76.0,20.0,4.52,,
516,Kansanshi,51.96,80.0,0.0,3.29,,
517,Labuan,81.18,89.0,40.0,6.91,,
518,Bereda,55.33,99.0,100.0,15.99,,
519,Abbeville,46.99,61.0,100.0,8.5,,
520,Port Macquarie,67.48,59.0,45.0,2.15,,
521,Srīvardhan,89.71,55.0,100.0,8.14,,
522,jujuy,,,,,,
523,Kouango,70.23,98.0,99.0,3.31,,
524,Alihe,56.48,41.0,94.0,15.3,,
525,Segezha,49.26,86.0,100.0,2.86,,
526,Kargasok,63.64,68.0,100.0,6.6,,
527,Jaqué,80.06,85.0,100.0,3.71,,
528,Coahuayana Viejo,77.63,80.0,42.0,2.08,,
529,Seoul,73.35,78.0,90.0,8.05,,
530,Redding,74.59,32.0,75.0,12.66,,
531,Elmira,42.93,81.0,1.0,3.44,,
532,Cheyenne,44.91,93.0,75.0,3.44,,
533,Galle,83.19,77.0,100.0,6.73,,
534,Pouébo,79.9,71.0,35.0,6.51,,
535,Skarnes,47.7,100.0,90.0,5.75,,
536,Inuvik,46.4,53.0,100.0,2.3,,
537,Kibre Mengist,60.08,93.0,78.0,1.68,,
538,São João da Barra,68.83,69.0,100.0,2.53,,
539,Townsville,80.6,47.0,0.0,14.97,,
540,Ourém,50.58,91.0,98.0,2.66,,
541,Morant Bay,76.96,69.0,20.0,6.91,,
542,Mildura,59.97,36.0,40.0,13.8,,
543,Adeje,61.93,82.0,20.0,9.22,,
544,Bubaque,76.69,77.0,5.0,12.08,,
545,Southampton,49.17,92.0,100.0,1.01,,
546,Zhigansk,51.24,45.0,100.0,19.39,,
547,Canutama,72.72,98.0,100.0,1.41,,
548,Udaipura,99.84,25.0,58.0,10.09,,
